phd,subqualifier,avermrval_0,avermrval_1,procid,drivetemp
12,PostRroCa,432,403,6600,63
0,PostTdboWrCa,379,401,6600,63
16,PostPPQCa,337,360,6600,63
2,RefCa,431,369,6600,63
6,PostPPQCa,432,387,6600,63
9,PostTdboWrCa,353,375,6600,63
0,PostRroCa,379,402,6600,63
4,RefCa,434,392,6600,63
8,PostTdboWrCa,313,361,6600,63
4,PostTdboSlpMRamp,435,393,6600,63
17,PostTdboWrCa,427,441,6600,63
4,PostTdboWrCa,437,392,6600,63
2,PostTdboWrCa,431,369,6600,63
17,PostDsatCa,428,443,6600,63
12,PostTdboRdCa,428,406,6600,63
4,PostPPQCa,435,391,6600,63
11,PostPPQCa,364,418,6600,63
3,PostTdboWrCa,401,510,6600,63
13,PostRroCa,423,407,6600,63
9,PostTdboRdCa,352,374,6600,63
11,PostCsoCa,362,417,6600,63
3,PostTdboSlpMRamp,402,506,6600,63
1,PostTdboSlpMRamp,377,407,6600,63
1,PostPPQCa,377,401,6600,63
8,PostTdboWrCa,313,362,6600,63
1,PostCsoCa,378,400,6600,63
7,PostTdboRdCa,427,371,6600,63
7,PostPPQCa,423,370,6600,63
16,PostTdboSlpMRamp,336,360,6600,63
16,PostRroCa,337,360,6600,63
12,PostTdboWrCa,426,401,6600,63
6,PostDsatCa,432,389,6600,63
10,RefCa,384,445,6600,63
17,PostTdboRdCa,425,443,6600,63
6,PostTdboRdCa,431,385,6600,63
13,PostPPQCa,423,405,6600,63
5,PostTdboRdCa,329,487,6600,63
15,PostTdboSlpMRamp,451,450,6600,63
12,PostCsoCa,427,403,6600,63
8,PostTdboSlpMRamp,313,360,6600,63
14,PostTdboSlpMRamp,415,396,6600,63
3,PostTdboRdCa,400,507,6600,63
16,PostTdboRdCa,336,360,6600,63
15,PostDsatCa,449,448,6600,63
10,PostTdboSlpMRamp,385,445,6600,63
1,PostTdboWrCa,378,405,6600,63
13,PostTdboSlpMRamp,424,408,6600,63
14,PostTdboWrCa,417,394,6600,63
17,PostCsoCa,429,443,6600,63
2,PostTdboRdCa,434,369,6600,63
0,PostTdboSlpMRamp,381,401,6600,63
10,PostTdboWrCa,385,447,6600,63
9,PostTdboSlpMRamp,352,374,6600,63
11,PostTdboWrCa,363,417,6600,63
4,PostTdboWrCa,438,395,6600,63
1,RefCa,376,403,6600,63
0,PostTdboRdCa,378,398,6600,63
15,PostTdboRdCa,453,449,6600,63
7,PostDsatCa,417,370,6600,63
17,PostTdboWrCa,425,441,6600,63
15,PostPPQCa,451,451,6600,63
1,PostRroCa,376,404,6600,63
5,PostPPQCa,327,485,6600,63
2,PostTdboRdCa,428,369,6600,63
15,PostTdboWrCa,452,451,6600,63
11,PostRroCa,363,419,6600,63
7,RefCa,425,371,6600,63
6,PostTdboSlpMRamp,430,387,6600,63
2,PostPPQCa,431,369,6600,63
14,PostCsoCa,414,393,6600,63
3,RefCa,400,505,6600,63
17,PostRroCa,429,442,6600,63
6,PostTdboWrCa,428,388,6600,63
0,PostTdboRdCa,378,400,6600,63
14,PostTdboRdCa,417,396,6600,63
4,PostRroCa,435,393,6600,63
3,PostDsatCa,402,506,6600,63
10,PostCsoCa,382,445,6600,63
1,PostTdboWrCa,377,405,6600,63
8,PostTdboRdCa,312,360,6600,63
7,PostCsoCa,417,370,6600,63
1,PostTdboRdCa,377,402,6600,63
17,RefCa,429,442,6600,63
16,PostCsoCa,334,359,6600,63
9,PostPPQCa,353,375,6600,63
8,PostRroCa,314,361,6600,63
15,RefCa,453,451,6600,63
14,PostDsatCa,416,394,6600,63
5,PostTdboRdCa,325,485,6600,63
2,PostTdboWrCa,431,369,6600,63
15,RmrTstZnCa,447,445,6400,35
0,StartFTRamp,381,401,6400,35
13,RmrTstZnCa,421,402,6400,35
6,StartFTRamp,426,385,6400,35
14,RmrTstZnCa,410,390,6400,35
9,StartFTRamp,356,373,6400,35
11,StartFTRamp,361,413,6400,35
12,StartFTRamp,424,404,6400,35
2,StartFTRamp,431,365,6400,35
16,StartFTRamp,333,356,6400,35
5,StartFTRamp,325,484,6400,35
7,RmrTstZnCa,420,366,6400,35
11,RmrTstZnCa,360,415,6400,35
10,StartFTRamp,384,442,6400,35
4,StartFTRamp,435,389,6400,35
9,RmrTstZnCa,351,370,6400,35
16,RmrTstZnCa,330,353,6400,35
12,RmrTstZnCa,427,402,6400,35
3,StartFTRamp,403,507,6400,35
17,RmrTstZnCa,419,440,6400,35
14,StartFTRamp,412,393,6400,35
7,StartFTRamp,417,369,6400,35
17,StartFTRamp,421,439,6400,35
1,StartFTRamp,376,397,6400,35
10,RmrTstZnCa,382,441,6400,35
15,StartFTRamp,448,446,6400,35
3,RmrTstZnCa,399,503,6400,35
1,RmrTstZnCa,374,400,6400,35
0,RmrTstZnCa,376,395,6400,35
13,StartFTRamp,419,407,6400,35
6,RmrTstZnCa,424,382,6400,35
8,RmrTstZnCa,309,359,6400,35
8,StartFTRamp,310,358,6400,35
5,RmrTstZnCa,323,481,6400,35
2,RmrTstZnCa,427,366,6400,35
4,RmrTstZnCa,433,389,6400,35
